Hostname,Memory utilization,CPU utilization,"Interface [""GigabitEthernet0/0/0""]: Bits sent","Interface [""GigabitEthernet0/0/0""]: Bits received","Interface [""GigabitEthernet0/0/1""]: Bits received","Interface [""GigabitEthernet0/0/1""]: Bits sent"
BR-C032-DEHRD,51.33,46.76,41.34 Kbps,109.01 Kbps,106.05 Kbps,58.96 Kbps
BR-C034-BHSRI,58,47.86,53.47 Kbps,121.47 Kbps,404.06 Kbps,133.28 Kbps
BR-C035-PMPRI,69.8,46.71,32.36 Kbps,90.27 Kbps,134.99 Kbps,50.36 Kbps
BR-C036-MYARD,56.06,46.64,38.91 Kbps,98.23 Kbps,266.56 Kbps,60.58 Kbps
BR-C037-CHAKN,57.04,46.59,42.22 Kbps,97.96 Kbps,95.80 Kbps,33.91 Kbps
BR-C038-THRGN,63.49,46.19,26.33 Kbps,111.35 Kbps,103.72 Kbps,50.43 Kbps
BR-C040-NIGDI,55.56,46.07,46.28 Kbps,99.05 Kbps,263.14 Kbps,38.28 Kbps
BR-C042-MSLCL,60.77,46.84,32.41 Kbps,126.18 Kbps,83.98 Kbps,36.06 Kbps
BR-C044-SMBNG,54.59,45.93,44.44 Kbps,189.14 Kbps,157.34 Kbps,43.27 Kbps
BR-C045-AMBAD,58.61,47.22,53.02 Kbps,126.44 Kbps,489.61 Kbps,78.59 Kbps
BR-C046-POKRN,52.76,47.55,77.95 Kbps,150.24 Kbps,228.06 Kbps,81.07 Kbps
BR-C047-BHWDI,50.68,47.15,58.68 Kbps,117.27 Kbps,155.32 Kbps,40.74 Kbps
BR-C048-CHMBR,57.49,47.04,39.18 Kbps,89.58 Kbps,122.78 Kbps,63.64 Kbps
BR-C049-NPNVL-NEW,52.2,44.7,34.24 Kbps,51.94 Kbps,108.46 Kbps,32.33 Kbps
BR-C050-IDRNG,62.86,47.79,51.17 Kbps,94.58 Kbps,243.40 Kbps,44.66 Kbps
BR-C051-CHRKP,57.44,46.89,42.95 Kbps,208.95 Kbps,108.33 Kbps,39.46 Kbps
BR-C052-AMBTH,56.73,46.16,30.70 Kbps,69.89 Kbps,250.65 Kbps,68.55 Kbps
BR-C053-BHNDP,54.6,46.43,54.12 Kbps,218.01 Kbps,105.69 Kbps,31.44 Kbps
BR-C054-MIRRD,56.46,46,58.29 Kbps,237.18 Kbps,34.85 Kbps,15.60 Kbps
BR-C055-SATRA,51.34,45.65,31.00 Kbps,56.50 Kbps,112.54 Kbps,39.72 Kbps
BR-C056-WNWDI,70.6,46.37,36.13 Kbps,55.29 Kbps,222.82 Kbps,33.90 Kbps
BR-C057-KTHRD,62.75,47.74,33.25 Kbps,131.63 Kbps,175.35 Kbps,52.15 Kbps
BR-C058-KLYNR,52.96,45.95,48.29 Kbps,103.40 Kbps,273.06 Kbps,51.75 Kbps
BR-C059-BDLPR,57.18,47.99,55.31 Kbps,90.23 Kbps,279.54 Kbps,45.68 Kbps
BR-C070-RVKRJ,51.8,47.29,38.14 Kbps,58.69 Kbps,106.63 Kbps,32.34 Kbps
BR-C071-ANDRI,52.1,46.14,45.69 Kbps,81.85 Kbps,205.33 Kbps,71.45 Kbps
BR-C072-VAS12,57.31,47.2,26.70 Kbps,49.89 Kbps,176.23 Kbps,49.32 Kbps
BR-C073-PTLPD,52.22,46.05,44.17 Kbps,88.83 Kbps,280.27 Kbps,51.80 Kbps
BR-C074-MAPSA,53.75,46.38,33.85 Kbps,67.53 Kbps,231.36 Kbps,48.19 Kbps
BR-C075-KRWDL,70.2,47.48,29.31 Kbps,64.52 Kbps,207.22 Kbps,59.06 Kbps
BR-C076-BELGN,62.17,48.08,23.06 Kbps,73.30 Kbps,217.85 Kbps,51.94 Kbps
BR-C077-ARGBD,57.34,45.83,43.48 Kbps,53.68 Kbps,101.61 Kbps,36.07 Kbps
BR-C078-DADAR,53.87,45.77,33.37 Kbps,55.33 Kbps,309.59 Kbps,53.54 Kbps
BR-C079-LATUR,70.47,47.07,35.21 Kbps,50.01 Kbps,146.06 Kbps,39.23 Kbps
BR-C080-KLHPR,59.87,45.02,35.70 Kbps,53.52 Kbps,101.90 Kbps,32.81 Kbps
BR-C081-SGDRD,69.29,45.17,35.39 Kbps,50.88 Kbps,60.46 Kbps,28.01 Kbps
BR-C082-NAGPUR,59.47,48.14,57.62 Kbps,96.57 Kbps,248.28 Kbps,67.79 Kbps
BR-C083-RABLE,56.52,45.51,34.56 Kbps,66.79 Kbps,111.24 Kbps,56.32 Kbps
BR-C084-DNKWD,58.43,45.16,27.82 Kbps,54.30 Kbps,180.29 Kbps,41.14 Kbps
BR-C085-CHPLN,58.61,47,39.86 Kbps,56.95 Kbps,241.51 Kbps,41.49 Kbps
BR-C086-JALNA,68.62,45.89,24.15 Kbps,46.28 Kbps,95.56 Kbps,36.08 Kbps
BR-C087-SANGL,68.41,47.15,31.70 Kbps,87.61 Kbps,92.98 Kbps,36.98 Kbps
BR-C088-KDKPD,70.54,47.32,36.79 Kbps,65.22 Kbps,131.20 Kbps,42.26 Kbps
BR-C089-CHDVL,51.62,45.56,31.42 Kbps,75.24 Kbps,229.56 Kbps,57.19 Kbps
BR-C090-BOISR,56.72,45.52,28.04 Kbps,50.07 Kbps,123.10 Kbps,37.19 Kbps
BR-C091-KUDUS,60.79,47.31,40.95 Kbps,54.89 Kbps,178.53 Kbps,41.34 Kbps
BR-C092-PHNDA,58.41,47.67,45.83 Kbps,96.36 Kbps,232.68 Kbps,45.59 Kbps
BR-C093-MDGON,53.74,45.79,39.45 Kbps,171.05 Kbps,89.70 Kbps,48.41 Kbps
BR-C094-MHTNG,60.15,45.33,28.27 Kbps,120.40 Kbps,55.19 Kbps,39.45 Kbps
BR-C095-PEN,58.36,46.07,31.77 Kbps,55.47 Kbps,267.79 Kbps,47.32 Kbps
BR-C096-AKOLA,51.13,47.69,40.23 Kbps,98.98 Kbps,107.21 Kbps,33.11 Kbps
BR-C097-SLPUR,58.04,46.53,28.65 Kbps,57.32 Kbps,150.03 Kbps,51.93 Kbps
BR-C098-SURAT,64.78,47.36,51.22 Kbps,140.06 Kbps,197.39 Kbps,70.33 Kbps
BR-C099-VDDRA,69.81,45.66,33.86 Kbps,62.49 Kbps,236.40 Kbps,58.16 Kbps
BR-C100-AHMBD,58.71,45.3,36.10 Kbps,40.90 Kbps,81.86 Kbps,29.10 Kbps
BR-C101-JYNGR,44.75,45.11,63.78 Kbps,140.77 Kbps,11.17 Kbps,5.12 Kbps
BR-C103-LOSWD,52.94,49.09,97.30 Kbps,365.49 Kbps,496.13 Kbps,77.18 Kbps
BR-C104-DOMBW,59.82,46.59,48.54 Kbps,80.53 Kbps,87.94 Kbps,32.09 Kbps
BR-C105-SHPUR,70.18,45.37,29.65 Kbps,49.38 Kbps,111.44 Kbps,37.56 Kbps
BR-C106-MULUE,62.25,46.71,32.07 Kbps,101.80 Kbps,185.02 Kbps,60.20 Kbps
BR-C108-ULNGR,66.61,47.58,33.07 Kbps,155.36 Kbps,165.22 Kbps,52.55 Kbps
BR-C109-HUBLI,70.31,45.18,32.26 Kbps,56.43 Kbps,70.53 Kbps,32.79 Kbps
BR-C110-KRVNG,56.61,47.66,39.94 Kbps,66.26 Kbps,222.38 Kbps,45.52 Kbps
BR-C111-RAJKT,70.69,46.35,39.71 Kbps,150.42 Kbps,213.82 Kbps,119.52 Kbps
BR-C112-STRTM,69.93,47.28,29.06 Kbps,50.51 Kbps,133.08 Kbps,39.53 Kbps
BR-C113-AHDNG,70.26,46.19,29.65 Kbps,73.72 Kbps,154.41 Kbps,59.60 Kbps
BR-C114-NNDED,70.3,47.42,27.90 Kbps,52.25 Kbps,169.91 Kbps,41.20 Kbps
BR-C115-RJJNG,57.91,45.73,29.36 Kbps,41.53 Kbps,88.72 Kbps,30.03 Kbps
BR-C116-PRJNG,58.31,45.66,36.40 Kbps,110.61 Kbps,233.80 Kbps,30.80 Kbps
BR-C117-CNAVE,65.28,47.74,33.03 Kbps,52.33 Kbps,224.99 Kbps,48.72 Kbps
BR-C118-PRHNG,70.11,47.57,28.99 Kbps,104.96 Kbps,102.98 Kbps,47.45 Kbps
BR-C119-ICLKR,57.42,46.2,24.77 Kbps,52.97 Kbps,60.37 Kbps,39.40 Kbps
BR-C120-AMRVT,63.35,47.56,36.62 Kbps,58.85 Kbps,181.91 Kbps,41.71 Kbps
BR-C121-DHKLI,70.73,46.7,99.15 Kbps,269.06 Kbps,69.48 Kbps,21.37 Kbps
BR-C122-TRBPK,59.48,45.58,34.05 Kbps,52.87 Kbps,108.21 Kbps,31.26 Kbps
BR-C124-VKRLI,70.59,45.79,75.14 Kbps,105.58 Kbps,235.82 Kbps,50.13 Kbps
BR-C125-DHSAR,69.98,47.2,33.21 Kbps,58.11 Kbps,98.49 Kbps,32.67 Kbps
BR-C126-SKWRPT,53.16,46.62,31.68 Kbps,55.12 Kbps,104.66 Kbps,36.36 Kbps
BR-C127-MJLPUR,51.8,47.24,20.11 Kbps,31.78 Kbps,110.00 Kbps,62.34 Kbps
BR-C128-TITWL,69.4,46.73,43.91 Kbps,114.76 Kbps,204.80 Kbps,44.16 Kbps
BR-C129-MMBRA,57.67,47.6,30.62 Kbps,99.73 Kbps,145.55 Kbps,50.61 Kbps
BR-C130-BELVL,69.67,46.15,44.97 Kbps,66.06 Kbps,225.09 Kbps,38.95 Kbps
BR-C131-VAPI,65.86,45.33,32.06 Kbps,54.49 Kbps,191.97 Kbps,44.18 Kbps
BR-C132-SINNR,53.63,46.92,28.06 Kbps,48.55 Kbps,71.58 Kbps,36.81 Kbps
BR-C133-NLSPR,64.9,52.13,125.59 Kbps,241.80 Kbps,44.07 Kbps,6.16 Kbps
BR-C134-VIRAR,58.24,45.45,28.89 Kbps,59.47 Kbps,239.94 Kbps,57.00 Kbps
BR-C135-PLGHR,56.17,46,66.27 Kbps,240.83 Kbps,22.12 Kbps,14.75 Kbps
BR-C136-MORBI,55.65,45.63,35.51 Kbps,55.38 Kbps,54.39 Kbps,29.03 Kbps
BR-C137-SANPD,70.09,46.92,77.18 Kbps,92.41 Kbps,267.18 Kbps,54.81 Kbps
BR-C138-SENBP,65.08,46.78,26.12 Kbps,45.39 Kbps,108.70 Kbps,38.20 Kbps
BR-C139-RAVET,70.15,46.17,34.59 Kbps,156.12 Kbps,62.54 Kbps,40.07 Kbps
BR-C140-VASCO,55.62,47.51,41.23 Kbps,155.07 Kbps,180.34 Kbps,53.15 Kbps
BR-C141-KRWAR,57.69,46.77,29.73 Kbps,164.13 Kbps,158.61 Kbps,41.48 Kbps
BR-C143-KMOTH,58.78,45.82,25.90 Kbps,61.54 Kbps,81.59 Kbps,31.07 Kbps
BR-C144-PURNA,65.04,45.54,35.15 Kbps,75.05 Kbps,210.19 Kbps,39.87 Kbps
BR-C146-GANDHI,52.96,46.76,28.47 Kbps,48.25 Kbps,215.19 Kbps,43.47 Kbps
BR-C147-MJWAD,51.03,45.55,39.74 Kbps,123.46 Kbps,151.04 Kbps,39.76 Kbps
BR-C148-NSKRD,67.14,45.2,36.79 Kbps,60.32 Kbps,48.84 Kbps,28.82 Kbps
BR-C149-BORIE,56.19,46.44,39.62 Kbps,59.78 Kbps,224.33 Kbps,34.43 Kbps
BR-C150-VRCRD,58.35,45.27,29.25 Kbps,54.16 Kbps,173.92 Kbps,44.70 Kbps
BR-C151-PMPGV,54.17,47.37,59.57 Kbps,229.67 Kbps,0.00 Kbps,0.09 Kbps
BR-C152-MURBD,53.1,47.33,33.30 Kbps,108.12 Kbps,117.91 Kbps,40.73 Kbps
BR-C153-KARAD,65.61,46.89,47.73 Kbps,116.80 Kbps,213.85 Kbps,46.37 Kbps
BR-C154-INDBG,59.19,45.61,24.21 Kbps,38.41 Kbps,154.69 Kbps,38.70 Kbps
BR-C155-C83K-RMRBR,75.97,18.5,537.40 Kbps,1.74 Mbps,0.00 Kbps,0.00 Kbps
BR-C156-INDOR,58.39,45.52,29.05 Kbps,72.90 Kbps,131.05 Kbps,39.11 Kbps
BR-C157-YAVAT,55.84,47.59,58.36 Kbps,62.81 Kbps,95.93 Kbps,33.28 Kbps
BR-C158-RD33,70.39,46.18,52.56 Kbps,424.40 Kbps,300.91 Kbps,53.32 Kbps
BR-C159-MTHGN,51.71,52.6,55.74 Kbps,108.05 Kbps,0.13 Kbps,0.05 Kbps
BR-C160-UJJAN,52.25,50.27,31.64 Kbps,34.06 Kbps,139.82 Kbps,44.51 Kbps
BR-C161-THKRL,52.09,50.71,45.72 Kbps,92.75 Kbps,30.22 Kbps,7.66 Kbps
BR-C162-YLHNK,55.44,47.66,81.19 Kbps,225.35 Kbps,0.06 Kbps,0.09 Kbps
BR-C171-KARJT,59.07,45.54,31.77 Kbps,46.15 Kbps,54.43 Kbps,29.47 Kbps
BR-C172-WALNJ,55.03,46.13,24.76 Kbps,59.47 Kbps,268.44 Kbps,78.74 Kbps
BR-C173-ADNGR,57.29,47.65,41.96 Kbps,225.30 Kbps,338.81 Kbps,73.46 Kbps
BR-C174-BRMTI,57.15,47.3,78.14 Kbps,262.09 Kbps,62.53 Kbps,20.46 Kbps
BR-C175-MOSHI,57.19,46.05,29.62 Kbps,51.04 Kbps,235.98 Kbps,43.03 Kbps
BR-C176-PRVRM,70.01,46.51,29.34 Kbps,168.97 Kbps,168.72 Kbps,57.87 Kbps
BR-C177-WAGHL,58.02,46.43,32.63 Kbps,176.15 Kbps,198.71 Kbps,82.88 Kbps
BR-C178-KULGV,54.27,50.75,51.01 Kbps,75.51 Kbps,546.87 Kbps,50.11 Kbps
BR-C181-VASCOD,53.85,46.68,42.77 Kbps,93.99 Kbps,255.95 Kbps,56.56 Kbps
BR-C183-AQUEM,69.53,47.83,40.17 Kbps,87.73 Kbps,102.34 Kbps,41.49 Kbps
BR-C184-CNCONA,61.65,45.76,26.48 Kbps,40.09 Kbps,102.76 Kbps,33.03 Kbps
BR-C185-MRGAO,N/A,N/A,N/A,N/A,N/A,N/A
BR-C186-PANAJI,60.79,46.5,62.67 Kbps,104.48 Kbps,265.05 Kbps,37.63 Kbps
BR-C187-PONDA,N/A,N/A,N/A,N/A,N/A,N/A
BR-C191-SUBHO,54.79,46.01,35.67 Kbps,89.16 Kbps,266.66 Kbps,49.80 Kbps
BR-C193-KUDAL,52.97,44.91,28.28 Kbps,34.81 Kbps,108.57 Kbps,26.55 Kbps
BR-C194-BANDA,61.3,44.95,22.04 Kbps,22.31 Kbps,74.18 Kbps,28.66 Kbps
BR-C195-DDMRG,58.4,45.92,28.33 Kbps,31.88 Kbps,86.98 Kbps,26.89 Kbps
BR-C196-PDGHT,63.49,51.91,109.68 Kbps,130.00 Kbps,9.79 Kbps,0.15 Kbps
BR-C197-KNKVL,61.7,44.82,18.41 Kbps,29.00 Kbps,46.36 Kbps,34.60 Kbps
BR-C198-SHRDA,51.31,51.6,19.02 Kbps,38.01 Kbps,119.84 Kbps,40.11 Kbps
BR-C199-VGRLA,60.85,45.82,18.51 Kbps,68.10 Kbps,38.23 Kbps,34.39 Kbps
BR-C200-MLVAN,53.56,45.41,28.21 Kbps,92.53 Kbps,42.38 Kbps,35.59 Kbps
DC-THANE-C83K-R1,65.06,29.56,7.42 Mbps,1.36 Mbps,2.17 Mbps,32.23 Mbps
DC-THANE-C83K-R2,65.23,27.07,4.53 Mbps,1.30 Mbps,1.69 Mbps,6.32 Mbps
DR-PUNE-C83K-RTR01,60.02,22.05,717.44 Kbps,2.20 Mbps,9.11 Mbps,1.05 Mbps
DR-PUNE-C83K-RTR02,57.52,22.83,488.26 Kbps,3.38 Mbps,32.28 Mbps,838.10 Kbps
OF-BWDGD-GD,38.71,48.94,50.58 Kbps,260.67 Kbps,845.41 Kbps,142.04 Kbps
OF-C002-MNLKR,56.06,46.22,28.55 Kbps,196.57 Kbps,191.46 Kbps,73.53 Kbps
OF-CALGT-OA,59.14,45.56,24.50 Kbps,28.70 Kbps,17.67 Kbps,19.59 Kbps
OF-DDBTC-TC,55.85,44.91,15.88 Kbps,14.88 Kbps,24.39 Kbps,26.33 Kbps
OF-GHKPR-RO,57.79,45.89,24.25 Kbps,125.84 Kbps,202.53 Kbps,105.66 Kbps
OF-GOA-RO,58.92,47.26,35.52 Kbps,62.37 Kbps,206.81 Kbps,64.21 Kbps
OF-HOUSE-C83K-CORP,78.65,19.78,597.42 Kbps,3.29 Mbps,3.01 Mbps,1.58 Mbps
OF-MAPSA-OA,58.91,46.75,21.71 Kbps,31.86 Kbps,18.61 Kbps,23.62 Kbps
OF-MDGON-OA,58.69,46.99,0.09 Kbps,1.92 Kbps,24.71 Kbps,33.40 Kbps
OF-NASHIK-RO,59.03,47.08,32.13 Kbps,56.73 Kbps,316.02 Kbps,75.04 Kbps
OF-NGNCI-OA,58.27,46.89,29.52 Kbps,20.88 Kbps,0.00 Kbps,0.00 Kbps
OF-PNJIM-OA,58.95,47.06,20.01 Kbps,34.13 Kbps,20.17 Kbps,25.32 Kbps
OF-PUNE-RO,53.1,46.82,77.69 Kbps,179.09 Kbps,320.29 Kbps,116.03 Kbps
BR-C165-DHRGL,50.25,45.11,0.00 Kbps,0.00 Kbps,136.59 Kbps,81.45 Kbps
BR-C163-SANQM,50.31,45.15,0.00 Kbps,0.00 Kbps,141.66 Kbps,69.96 Kbps
BR-C164-CURHM,47.08,46.68,0.00 Kbps,0.00 Kbps,155.01 Kbps,74.28 Kbps
