Hostname,Memory utilization,CPU utilization,"Interface [""GigabitEthernet0/0/0""]: Bits sent","Interface [""GigabitEthernet0/0/0""]: Bits received","Interface [""GigabitEthernet0/0/1""]: Bits received","Interface [""GigabitEthernet0/0/1""]: Bits sent"
BR-C151-PMPGV,54.18,47.36,59.57 Kbps,229.06 Kbps,0.00 Kbps,0.09 Kbps
BR-C152-MURBD,53.09,47.34,33.35 Kbps,108.64 Kbps,118.09 Kbps,40.80 Kbps
BR-C153-KARAD,65.59,46.89,47.69 Kbps,116.35 Kbps,213.21 Kbps,46.33 Kbps
BR-C154-INDBG,59.19,45.6,24.23 Kbps,38.40 Kbps,154.71 Kbps,38.67 Kbps
BR-C155-C83K-RMRBR,75.97,18.5,539.74 Kbps,1.74 Mbps,0.00 Kbps,0.00 Kbps
BR-C156-INDOR,58.39,45.52,29.07 Kbps,72.92 Kbps,130.99 Kbps,38.98 Kbps
BR-C157-YAVAT,55.85,47.59,58.35 Kbps,62.83 Kbps,95.81 Kbps,33.24 Kbps
BR-C158-RD33,70.39,46.18,52.60 Kbps,426.19 Kbps,300.69 Kbps,53.39 Kbps
BR-C159-MTHGN,51.71,52.59,55.68 Kbps,107.86 Kbps,0.13 Kbps,0.05 Kbps
BR-C160-UJJAN,52.25,50.27,31.66 Kbps,34.10 Kbps,139.47 Kbps,44.55 Kbps
BR-C161-THKRL,52.09,50.72,45.76 Kbps,92.86 Kbps,30.20 Kbps,7.62 Kbps
BR-C162-YLHNK,55.44,47.67,81.22 Kbps,225.10 Kbps,0.06 Kbps,0.09 Kbps
BR-C171-KARJT,59.07,45.54,31.78 Kbps,46.19 Kbps,54.48 Kbps,29.51 Kbps
BR-C172-WALNJ,55.04,46.13,24.70 Kbps,59.26 Kbps,267.98 Kbps,78.72 Kbps
BR-C173-ADNGR,57.29,47.66,41.98 Kbps,226.71 Kbps,339.70 Kbps,73.89 Kbps
BR-C174-BRMTI,57.15,47.3,78.16 Kbps,261.48 Kbps,62.85 Kbps,20.59 Kbps
BR-C175-MOSHI,57.19,46.05,29.75 Kbps,51.19 Kbps,235.88 Kbps,43.09 Kbps
BR-C176-PRVRM,70.01,46.52,29.24 Kbps,168.91 Kbps,168.80 Kbps,58.04 Kbps
BR-C177-WAGHL,58.03,46.43,32.65 Kbps,175.40 Kbps,198.36 Kbps,82.83 Kbps
BR-C178-KULGV,54.27,50.75,50.73 Kbps,74.43 Kbps,545.31 Kbps,50.13 Kbps
BR-C181-VASCOD,53.85,46.68,42.78 Kbps,94.28 Kbps,255.57 Kbps,56.99 Kbps
BR-C183-AQUEM,69.53,47.83,40.17 Kbps,87.74 Kbps,102.38 Kbps,41.50 Kbps
BR-C184-CNCONA,61.65,45.76,26.50 Kbps,40.07 Kbps,102.76 Kbps,33.01 Kbps
BR-C185-MRGAO,N/A,N/A,N/A,N/A,N/A,N/A
BR-C186-PANAJI,60.79,46.5,62.81 Kbps,105.10 Kbps,264.58 Kbps,37.63 Kbps
BR-C187-PONDA,N/A,N/A,N/A,N/A,N/A,N/A
BR-C191-SUBHO,54.79,46.01,35.69 Kbps,89.14 Kbps,265.53 Kbps,49.33 Kbps
BR-C193-KUDAL,52.98,44.91,28.30 Kbps,34.82 Kbps,107.99 Kbps,26.50 Kbps
BR-C194-BANDA,61.3,44.95,22.05 Kbps,22.32 Kbps,74.20 Kbps,28.67 Kbps
BR-C195-DDMRG,58.39,45.92,28.34 Kbps,31.86 Kbps,86.79 Kbps,26.90 Kbps
BR-C196-PDGHT,63.5,51.91,109.73 Kbps,130.14 Kbps,9.79 Kbps,0.15 Kbps
BR-C197-KNKVL,61.7,44.82,18.45 Kbps,29.07 Kbps,46.61 Kbps,34.61 Kbps
BR-C198-SHRDA,51.32,51.6,19.06 Kbps,38.09 Kbps,119.92 Kbps,40.13 Kbps
BR-C199-VGRLA,60.85,45.82,18.53 Kbps,67.05 Kbps,38.07 Kbps,34.31 Kbps
BR-C200-MLVAN,53.57,45.41,28.24 Kbps,91.98 Kbps,42.37 Kbps,35.55 Kbps
DC-THANE-C83K-R1,65.06,29.56,7.43 Mbps,1.36 Mbps,2.16 Mbps,32.26 Mbps
DC-THANE-C83K-R2,65.23,27.07,4.54 Mbps,1.30 Mbps,1.69 Mbps,6.31 Mbps
DR-PUNE-C83K-RTR01,59.99,22.05,718.60 Kbps,2.20 Mbps,9.07 Mbps,1.05 Mbps
DR-PUNE-C83K-RTR02,57.5,22.82,483.84 Kbps,3.38 Mbps,32.42 Mbps,833.32 Kbps
OF-BWDGD-GD,38.71,48.93,50.49 Kbps,260.31 Kbps,842.75 Kbps,141.64 Kbps
OF-C002-MNLKR,56.06,46.22,28.59 Kbps,198.46 Kbps,190.45 Kbps,73.61 Kbps
OF-CALGT-OA,59.14,45.56,24.49 Kbps,28.69 Kbps,17.68 Kbps,19.60 Kbps
OF-DDBTC-TC,55.85,44.91,15.88 Kbps,14.88 Kbps,24.40 Kbps,26.33 Kbps
OF-GHKPR-RO,57.79,45.89,24.28 Kbps,125.43 Kbps,203.24 Kbps,105.04 Kbps
OF-GOA-RO,58.92,47.26,35.52 Kbps,62.41 Kbps,206.84 Kbps,64.15 Kbps
OF-HOUSE-C83K-CORP,78.65,19.78,599.02 Kbps,3.30 Mbps,3.02 Mbps,1.59 Mbps
OF-MAPSA-OA,58.91,46.75,21.71 Kbps,31.86 Kbps,18.61 Kbps,23.62 Kbps
OF-MDGON-OA,58.7,46.99,0.09 Kbps,1.92 Kbps,24.71 Kbps,33.40 Kbps
OF-NASHIK-RO,59.03,47.08,32.16 Kbps,56.78 Kbps,315.60 Kbps,74.91 Kbps
OF-NGNCI-OA,58.27,46.89,29.52 Kbps,20.88 Kbps,0.00 Kbps,0.00 Kbps
OF-PNJIM-OA,58.95,47.06,20.01 Kbps,34.15 Kbps,20.17 Kbps,25.32 Kbps
OF-PUNE-RO,53.1,46.83,78.14 Kbps,179.32 Kbps,320.99 Kbps,116.29 Kbps
BR-C165-DHRGL,50.27,45.12,0.00 Kbps,0.00 Kbps,137.66 Kbps,82.16 Kbps
BR-C163-SANQM,50.31,45.15,0.00 Kbps,0.00 Kbps,143.39 Kbps,70.24 Kbps
BR-C164-CURHM,47.07,46.69,0.00 Kbps,0.00 Kbps,154.39 Kbps,74.11 Kbps
