Hostname,Memory utilization,CPU utilization,"Interface [""GigabitEthernet0/0/0""]: Bits sent","Interface [""GigabitEthernet0/0/0""]: Bits received","Interface [""GigabitEthernet0/0/1""]: Bits received","Interface [""GigabitEthernet0/0/1""]: Bits sent"
BR-C081-SGDRD,69.32,45.23,38.54 Kbps,54.08 Kbps,60.58 Kbps,29.92 Kbps
BR-C082-NAGPUR,59.54,48.28,62.89 Kbps,99.48 Kbps,248.30 Kbps,72.66 Kbps
BR-C083-RABLE,56.81,45.67,38.71 Kbps,72.87 Kbps,120.05 Kbps,60.63 Kbps
BR-C084-DNKWD,58.56,45.17,29.64 Kbps,57.32 Kbps,159.43 Kbps,40.63 Kbps
BR-C085-CHPLN,58.91,47,42.43 Kbps,57.58 Kbps,212.19 Kbps,40.32 Kbps
BR-C086-JALNA,68.65,45.9,24.96 Kbps,47.02 Kbps,90.40 Kbps,38.46 Kbps
BR-C087-SANGL,68.18,47.18,32.36 Kbps,89.87 Kbps,84.67 Kbps,37.28 Kbps
BR-C088-KDKPD,70.57,47.32,39.52 Kbps,68.47 Kbps,128.87 Kbps,43.14 Kbps
BR-C089-CHDVL,51.76,45.66,34.79 Kbps,81.46 Kbps,199.71 Kbps,58.07 Kbps
BR-C090-BOISR,57.04,45.58,31.48 Kbps,53.64 Kbps,117.16 Kbps,37.92 Kbps
BR-C091-KUDUS,60.92,47.28,41.27 Kbps,53.63 Kbps,145.40 Kbps,41.16 Kbps
BR-C092-PHNDA,58.62,47.71,45.85 Kbps,88.75 Kbps,205.46 Kbps,48.14 Kbps
BR-C093-MDGON,54.02,45.86,40.13 Kbps,170.87 Kbps,93.90 Kbps,50.49 Kbps
BR-C094-MHTNG,60.28,45.39,30.18 Kbps,115.48 Kbps,62.85 Kbps,41.98 Kbps
BR-C095-PEN,58.5,46.06,35.27 Kbps,58.24 Kbps,207.54 Kbps,44.59 Kbps
BR-C096-AKOLA,51.28,47.87,43.36 Kbps,98.68 Kbps,115.05 Kbps,36.64 Kbps
BR-C097-SLPUR,58.11,46.56,29.55 Kbps,58.08 Kbps,152.48 Kbps,51.04 Kbps
BR-C098-SURAT,65.02,47.66,70.64 Kbps,157.49 Kbps,185.78 Kbps,75.33 Kbps
BR-C099-VDDRA,69.84,45.64,35.71 Kbps,64.35 Kbps,207.56 Kbps,58.98 Kbps
BR-C100-AHMBD,58.76,45.43,39.15 Kbps,44.99 Kbps,83.21 Kbps,31.88 Kbps
BR-C101-JYNGR,44.8,45.24,66.54 Kbps,115.26 Kbps,25.95 Kbps,13.33 Kbps
BR-C103-LOSWD,53.07,49.72,129.53 Kbps,401.51 Kbps,484.17 Kbps,85.31 Kbps
BR-C104-DOMBW,59.93,46.7,52.39 Kbps,85.57 Kbps,92.03 Kbps,35.99 Kbps
BR-C105-SHPUR,70.2,45.38,30.04 Kbps,50.82 Kbps,116.76 Kbps,38.79 Kbps
BR-C106-MULUE,62.28,47,39.99 Kbps,102.68 Kbps,196.49 Kbps,66.55 Kbps
BR-C108-ULNGR,66.52,47.62,35.08 Kbps,132.02 Kbps,172.44 Kbps,53.36 Kbps
BR-C109-HUBLI,70.33,45.33,39.56 Kbps,67.36 Kbps,84.17 Kbps,38.92 Kbps
BR-C110-KRVNG,56.8,47.65,39.64 Kbps,67.12 Kbps,197.07 Kbps,48.47 Kbps
BR-C111-RAJKT,70.71,46.29,43.68 Kbps,128.01 Kbps,195.71 Kbps,96.53 Kbps
BR-C112-STRTM,69.96,47.35,41.80 Kbps,61.55 Kbps,106.10 Kbps,39.80 Kbps
BR-C113-AHDNG,70.28,46.24,38.70 Kbps,81.32 Kbps,138.76 Kbps,60.60 Kbps
BR-C114-NNDED,70.32,47.45,32.67 Kbps,56.88 Kbps,119.47 Kbps,42.41 Kbps
BR-C115-RJJNG,58.09,45.83,33.47 Kbps,43.39 Kbps,87.55 Kbps,30.06 Kbps
BR-C116-PRJNG,58.48,45.82,41.96 Kbps,112.75 Kbps,240.16 Kbps,33.36 Kbps
BR-C117-CNAVE,65.26,47.78,35.00 Kbps,54.42 Kbps,196.02 Kbps,50.26 Kbps
BR-C118-PRHNG,70.14,47.92,35.13 Kbps,256.48 Kbps,105.06 Kbps,66.68 Kbps
BR-C119-ICLKR,57.5,46.31,25.72 Kbps,52.62 Kbps,70.13 Kbps,43.83 Kbps
BR-C120-AMRVT,63.32,47.68,42.40 Kbps,63.88 Kbps,179.19 Kbps,42.47 Kbps
BR-C121-DHKLI,70.76,46.72,116.63 Kbps,295.03 Kbps,40.43 Kbps,12.66 Kbps
BR-C122-TRBPK,58.36,45.64,36.73 Kbps,55.76 Kbps,102.78 Kbps,32.53 Kbps
BR-C124-VKRLI,70.61,45.84,88.63 Kbps,121.55 Kbps,208.58 Kbps,52.19 Kbps
BR-C125-DHSAR,70.01,47.23,34.61 Kbps,59.09 Kbps,98.76 Kbps,34.85 Kbps
BR-C126-SKWRPT,53.24,46.69,35.06 Kbps,57.89 Kbps,101.19 Kbps,37.49 Kbps
BR-C127-MJLPUR,52.05,47.32,21.66 Kbps,33.88 Kbps,112.47 Kbps,66.65 Kbps
BR-C128-TITWL,69.43,46.76,49.42 Kbps,82.91 Kbps,212.11 Kbps,44.28 Kbps
BR-C129-MMBRA,57.83,47.63,34.16 Kbps,95.54 Kbps,125.88 Kbps,50.20 Kbps
BR-C130-BELVL,69.69,46.14,45.41 Kbps,68.46 Kbps,200.92 Kbps,40.15 Kbps
BR-C131-VAPI,63.63,45.41,37.62 Kbps,59.72 Kbps,168.72 Kbps,44.82 Kbps
BR-C132-SINNR,53.77,47,30.88 Kbps,51.41 Kbps,76.42 Kbps,38.57 Kbps
BR-C133-NLSPR,65.18,52.84,140.13 Kbps,261.21 Kbps,2.12 Kbps,0.17 Kbps
BR-C134-VIRAR,58.43,45.54,33.38 Kbps,62.95 Kbps,220.72 Kbps,57.71 Kbps
BR-C135-PLGHR,56.07,46.1,73.55 Kbps,220.90 Kbps,22.46 Kbps,15.00 Kbps
BR-C136-MORBI,55.48,45.68,37.90 Kbps,64.96 Kbps,51.78 Kbps,27.68 Kbps
BR-C137-SANPD,70.11,46.94,78.12 Kbps,94.40 Kbps,245.79 Kbps,58.74 Kbps
BR-C138-SENBP,65.02,46.82,29.24 Kbps,48.70 Kbps,101.70 Kbps,39.44 Kbps
BR-C139-RAVET,70.17,46.2,38.44 Kbps,127.07 Kbps,65.70 Kbps,40.16 Kbps
BR-C140-VASCO,55.77,47.56,42.02 Kbps,143.88 Kbps,168.30 Kbps,54.57 Kbps
BR-C141-KRWAR,57.56,46.78,34.32 Kbps,135.47 Kbps,96.34 Kbps,40.45 Kbps
BR-C143-KMOTH,59.03,45.91,28.35 Kbps,70.76 Kbps,79.84 Kbps,34.72 Kbps
BR-C144-PURNA,65.14,45.54,37.89 Kbps,76.51 Kbps,186.77 Kbps,40.11 Kbps
BR-C146-GANDHI,53.1,46.94,38.51 Kbps,59.84 Kbps,195.27 Kbps,44.89 Kbps
BR-C147-MJWAD,51.16,45.59,36.08 Kbps,87.79 Kbps,177.41 Kbps,46.86 Kbps
BR-C148-NSKRD,67.53,45.24,38.27 Kbps,63.94 Kbps,53.31 Kbps,32.15 Kbps
BR-C149-BORIE,56.33,46.44,41.80 Kbps,63.41 Kbps,199.67 Kbps,35.09 Kbps
BR-C150-VRCRD,58.38,45.44,36.22 Kbps,62.19 Kbps,186.34 Kbps,48.12 Kbps
BR-C151-PMPGV,54.5,47.41,63.85 Kbps,204.05 Kbps,0.00 Kbps,0.09 Kbps
BR-C152-MURBD,52.98,47.44,35.81 Kbps,112.42 Kbps,113.11 Kbps,41.71 Kbps
BR-C153-KARAD,64.6,46.89,49.50 Kbps,110.52 Kbps,184.05 Kbps,48.30 Kbps
BR-C154-INDBG,59.49,45.64,25.38 Kbps,39.76 Kbps,151.30 Kbps,39.45 Kbps
BR-C155-C83K-RMRBR,76.27,18.65,592.02 Kbps,1.81 Mbps,0.00 Kbps,0.00 Kbps
BR-C156-INDOR,58.25,45.55,31.10 Kbps,76.03 Kbps,120.81 Kbps,38.80 Kbps
BR-C157-YAVAT,56.2,47.82,60.96 Kbps,68.33 Kbps,95.83 Kbps,36.20 Kbps
BR-C158-RD33,70.42,46.19,52.29 Kbps,451.19 Kbps,288.40 Kbps,57.24 Kbps
BR-C159-MTHGN,51.77,52.65,56.99 Kbps,103.53 Kbps,0.17 Kbps,0.09 Kbps
BR-C160-UJJAN,52.38,50.33,32.16 Kbps,34.40 Kbps,122.11 Kbps,48.04 Kbps
BR-C161-THKRL,52.18,50.72,48.85 Kbps,90.52 Kbps,20.78 Kbps,4.44 Kbps
BR-C162-YLHNK,55.8,47.6,81.40 Kbps,191.45 Kbps,0.06 Kbps,0.09 Kbps
BR-C171-KARJT,59.34,45.72,39.29 Kbps,52.35 Kbps,69.22 Kbps,35.12 Kbps
BR-C172-WALNJ,55.29,46.31,34.03 Kbps,66.34 Kbps,251.97 Kbps,80.67 Kbps
BR-C173-ADNGR,57.42,47.97,57.09 Kbps,260.15 Kbps,343.87 Kbps,83.55 Kbps
BR-C174-BRMTI,57.17,47.56,86.27 Kbps,243.37 Kbps,79.35 Kbps,29.88 Kbps
BR-C175-MOSHI,57.36,46.32,40.26 Kbps,67.61 Kbps,215.52 Kbps,50.43 Kbps
BR-C176-PRVRM,70.03,46.64,25.76 Kbps,159.04 Kbps,159.66 Kbps,73.12 Kbps
BR-C177-WAGHL,58.34,46.55,41.60 Kbps,164.82 Kbps,187.78 Kbps,84.41 Kbps
BR-C178-KULGV,54.34,50.64,43.55 Kbps,64.74 Kbps,421.11 Kbps,54.28 Kbps
BR-C181-VASCOD,53.96,46.72,43.73 Kbps,92.48 Kbps,244.62 Kbps,58.83 Kbps
BR-C183-AQUEM,69.54,47.88,42.16 Kbps,84.45 Kbps,99.39 Kbps,43.72 Kbps
BR-C184-CNCONA,61.75,45.8,28.63 Kbps,45.90 Kbps,92.43 Kbps,32.69 Kbps
BR-C185-MRGAO,N/A,N/A,N/A,N/A,N/A,N/A
BR-C186-PANAJI,60.7,46.62,70.70 Kbps,120.95 Kbps,225.81 Kbps,37.50 Kbps
BR-C187-PONDA,N/A,N/A,N/A,N/A,N/A,N/A
BR-C191-SUBHO,54.93,46.09,39.34 Kbps,87.02 Kbps,223.44 Kbps,52.32 Kbps
BR-C193-KUDAL,53.08,44.95,29.51 Kbps,35.12 Kbps,102.71 Kbps,26.41 Kbps
BR-C194-BANDA,61.47,45,24.50 Kbps,24.35 Kbps,72.71 Kbps,28.39 Kbps
BR-C195-DDMRG,58.32,45.95,29.57 Kbps,33.63 Kbps,82.54 Kbps,28.14 Kbps
BR-C196-PDGHT,63.85,51.91,112.50 Kbps,131.48 Kbps,8.74 Kbps,0.15 Kbps
BR-C197-KNKVL,61.59,44.88,20.19 Kbps,29.86 Kbps,54.20 Kbps,34.97 Kbps
BR-C198-SHRDA,51.43,51.68,19.42 Kbps,39.30 Kbps,121.73 Kbps,42.97 Kbps
BR-C199-VGRLA,61.03,45.85,19.16 Kbps,60.50 Kbps,42.85 Kbps,34.92 Kbps
BR-C200-MLVAN,53.63,45.43,28.85 Kbps,78.57 Kbps,41.79 Kbps,35.39 Kbps
DC-THANE-C83K-R1,65.13,29.95,7.43 Mbps,1.39 Mbps,2.13 Mbps,31.18 Mbps
DC-THANE-C83K-R2,65.31,27.58,4.60 Mbps,1.39 Mbps,1.89 Mbps,6.00 Mbps
DR-PUNE-C83K-RTR01,58.33,22.6,818.17 Kbps,2.85 Mbps,8.63 Mbps,1.23 Mbps
DR-PUNE-C83K-RTR02,56.26,22.51,390.71 Kbps,2.85 Mbps,31.52 Mbps,573.84 Kbps
OF-BWDGD-GD,38.72,48.9,51.85 Kbps,258.78 Kbps,828.08 Kbps,138.22 Kbps
OF-C002-MNLKR,56.25,46.39,30.00 Kbps,214.55 Kbps,206.96 Kbps,80.81 Kbps
OF-CALGT-OA,59.19,45.56,23.94 Kbps,28.57 Kbps,18.02 Kbps,20.07 Kbps
OF-DDBTC-TC,55.88,44.91,16.28 Kbps,15.16 Kbps,24.18 Kbps,25.78 Kbps
OF-GHKPR-RO,57.86,46.11,31.65 Kbps,122.01 Kbps,212.25 Kbps,107.64 Kbps
OF-GOA-RO,59.25,47.4,38.11 Kbps,65.56 Kbps,185.47 Kbps,69.99 Kbps
OF-HOUSE-C83K-CORP,79.01,19.94,625.44 Kbps,3.37 Mbps,3.06 Mbps,1.68 Mbps
OF-MAPSA-OA,58.95,46.75,21.81 Kbps,32.22 Kbps,18.52 Kbps,23.42 Kbps
OF-MDGON-OA,58.74,46.98,0.09 Kbps,1.92 Kbps,24.71 Kbps,33.34 Kbps
OF-NASHIK-RO,59.32,47.27,40.26 Kbps,64.97 Kbps,302.76 Kbps,78.07 Kbps
OF-NGNCI-OA,58.29,46.92,29.40 Kbps,20.84 Kbps,0.00 Kbps,0.00 Kbps
OF-PNJIM-OA,58.98,47.07,20.11 Kbps,34.99 Kbps,20.06 Kbps,25.13 Kbps
OF-PUNE-RO,52.86,47.21,90.93 Kbps,199.49 Kbps,332.14 Kbps,126.68 Kbps
BR-C165-DHRGL,50.8,44.94,0.00 Kbps,0.00 Kbps,129.38 Kbps,75.60 Kbps
BR-C163-SANQM,50.53,45.35,0.00 Kbps,0.00 Kbps,159.47 Kbps,78.46 Kbps
BR-C164-CURHM,47.14,46.95,0.00 Kbps,0.00 Kbps,160.08 Kbps,92.60 Kbps
